City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
222,Ternate,ID,79.61000000000008,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
228,Bonthe,SL,78.60200000000007,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
231,Avarua,CK,80.65400000000005,scattered clouds,-21.2078,-159.775,Paradise Inn
241,Honiara,SB,79.32200000000003,broken clouds,-9.4333,159.95,Heritage Park Hotel
243,Acapulco,MX,85.11800000000008,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
244,Todos Santos,MX,75.308,clear sky,23.45,-110.2167,Hotel California Todos Santos
246,Sibolga,ID,75.12800000000007,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
250,Maniwaki,CA,79.17800000000007,few clouds,46.3834,-75.966,Centre Chateau Logue
252,Sinnamary,GF,80.24000000000002,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
261,Lazaro Cardenas,MX,78.89000000000001,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
267,Touros,BR,76.29800000000003,clear sky,-5.1989,-35.4608,INN NEW HORIZON
271,Lorengau,PG,80.56400000000004,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
277,Qingyuan,CN,76.98200000000001,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
279,Manzil Salim,TN,78.81800000000008,clear sky,35.8567,8.4765,mohamed ben khlil omri
282,Porto Novo,BJ,84.02000000000007,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
283,Iracoubo,GF,79.84400000000008,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
284,Champerico,GT,86.54000000000002,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
285,Amapala,HN,76.64000000000001,overcast clouds,13.2922,-87.6539,Hotel Brisas del Sur
288,Sola,VU,80.79800000000003,overcast clouds,-13.8833,167.55,Leumerus Bungalows
291,Broome,US,80.65400000000005,scattered clouds,42.2506,-75.833,Chenango Valley State Park
301,Makakilo City,US,76.60400000000006,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
302,Carutapera,BR,76.96400000000003,overcast clouds,-1.195,-46.02,Lidera
