City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Djibo,BF,2022-06-13 21:46:47,14.1022,-1.6306,309.05,31,3,2.56
68,Bredasdorp,ZA,2022-06-13 21:44:26,-34.5322,20.0403,286.03,83,100,4.37
69,Chokurdakh,RU,2022-06-13 21:44:41,70.6333,147.9167,293.12,32,0,7.79
70,Zabol,AF,2022-06-13 21:46:48,32.25,67.25,294.11,13,0,3.63
71,Gat,IL,2022-06-13 21:46:49,31.61,34.7642,296.53,100,0,1.36
72,Kenora,CA,2022-06-13 21:43:34,49.8167,-94.4337,297.69,64,75,4.63
73,Gaoual,GN,2022-06-13 21:46:50,11.75,-13.2,296.64,95,100,1.4
74,Zemio,CF,2022-06-13 21:46:50,5.0314,25.1361,293.34,98,100,1.34
75,Zhigansk,RU,2022-06-13 21:46:51,66.7697,123.3711,284.88,71,60,1.9
76,Ponta Do Sol,PT,2022-06-13 21:46:52,32.6667,-17.1,294.26,68,53,2.82
77,Faanui,PF,2022-06-13 21:46:52,-16.4833,-151.75,299.84,68,10,9.35
78,Moussoro,TD,2022-06-13 21:46:53,13.6408,16.4901,305.92,39,97,2.39
79,Kieta,PG,2022-06-13 21:46:54,-6.2167,155.6333,300.85,78,36,3.12
80,Pavilosta,LV,2022-06-13 21:46:54,56.8879,21.1859,287.1,84,100,3.62
81,East London,ZA,2022-06-13 21:46:55,-33.0153,27.9116,298.54,31,100,7.59
82,Barrow,US,2022-06-13 21:44:33,71.2906,-156.7887,274.16,86,100,7.2
83,Malinovoye Ozero,RU,2022-06-13 21:46:57,51.6753,79.7825,292.9,63,79,1.89
84,Houma,US,2022-06-13 21:46:57,29.5958,-90.7195,307.59,60,40,4.63
85,Gejiu,CN,2022-06-13 21:46:58,23.306,103.1635,286.3,98,100,2.12
86,Xining,CN,2022-06-13 21:46:58,36.6167,101.7667,283.35,39,0,1.18
87,Jamestown,US,2022-06-13 21:44:36,42.097,-79.2353,293.92,65,24,1.99
88,Koubia,GN,2022-06-13 21:47:00,11.5833,-11.9,294.18,95,92,1.03
89,Rehoboth,NA,2022-06-13 21:47:00,-23.3167,17.0833,283.3,58,0,3.76
90,Butaritari,KI,2022-06-13 21:44:20,3.0707,172.7902,300.47,77,18,5.97
91,Khorixas,NA,2022-06-13 21:47:01,-20.3667,14.9667,285.42,61,0,1.17
92,Namibe,AO,2022-06-13 21:47:02,-15.1961,12.1522,292.31,66,0,3.39
93,Arraial Do Cabo,BR,2022-06-13 21:45:00,-22.9661,-42.0278,293.13,77,75,11.32
94,Norman Wells,CA,2022-06-13 21:45:16,65.282,-126.8329,284.17,62,75,5.14
95,Bambous Virieux,MU,2022-06-13 21:44:42,-20.3428,57.7575,296.29,64,75,8.23
96,Tsumeb,NA,2022-06-13 21:47:14,-19.2333,17.7167,287.4,41,0,1.25
97,Yellowknife,CA,2022-06-13 21:40:22,62.456,-114.3525,292.44,55,75,2.57
98,Georgetown,MY,2022-06-13 21:44:18,5.4112,100.3354,300.11,93,20,0.0
99,Pringsewu,ID,2022-06-13 21:47:15,-5.3582,104.9744,295.86,97,99,1.7
100,Khatanga,RU,2022-06-13 21:45:12,71.9667,102.5,284.89,59,92,4.93
101,Brigantine,US,2022-06-13 21:47:16,39.4101,-74.3646,304.26,71,20,4.63
102,Westport,US,2022-06-13 21:44:28,41.1415,-73.3579,303.64,55,40,4.12
103,Lompoc,US,2022-06-13 21:46:41,34.6391,-120.4579,300.38,60,0,12.96
104,Poso,ID,2022-06-13 21:47:18,-1.3959,120.7524,297.21,84,57,2.18
105,Flinders,AU,2022-06-13 21:47:18,-34.5833,150.8552,280.4,79,6,1.76
106,Thompson,CA,2022-06-13 21:45:16,55.7435,-97.8558,298.24,27,75,3.09
107,Chuy,UY,2022-06-13 21:47:19,-33.6971,-53.4616,284.5,90,24,2.26
